mesh,target_quads,arm,repeat,ok,seconds,quads,quad_ratio,singularities,angle_dev_mean,feature_recall,hausdorff_p99,flow_loop_mean_len,error
box_sharp,400,cyber,0,True,0.055,352,1.0,8,1.4143796563613116,1.0,0.005445369122377003,30.608695652173914,
box_sharp,400,cyber,1,True,0.054,352,1.0,8,1.4143796563613116,1.0,0.005445369122377003,30.608695652173914,
box_sharp,400,cyber,2,True,0.056,352,1.0,8,1.4143796563613116,1.0,0.005445369122377003,30.608695652173914,
box_sharp,400,cyber-pure,0,True,0.085,406,1.0,46,30.94352380211093,0.9638888888888889,0.0058281611120001115,162.4,
box_sharp,400,cyber-pure,1,True,0.085,406,1.0,46,30.94352380211093,0.9638888888888889,0.0058281611120001115,162.4,
box_sharp,400,cyber-pure,2,True,0.084,406,1.0,46,30.94352380211093,0.9638888888888889,0.0058281611120001115,162.4,
box_sharp,400,quadriflow,0,True,0.065,384,1.0,8,0.2365743967521224,1.0,0.00541112849203773,32.0,
box_sharp,400,quadriflow,1,True,0.064,384,1.0,8,0.2365743967521224,1.0,0.00541112849203773,32.0,
box_sharp,400,quadriflow,2,True,0.063,384,1.0,8,0.2365743967521224,1.0,0.00541112849203773,32.0,
box_sharp,600,cyber,0,True,0.076,486,1.0,8,9.337095799421188e-06,1.0,0.00544027471506516,36.0,
box_sharp,600,cyber,1,True,0.075,486,1.0,8,9.337095799421188e-06,1.0,0.00544027471506516,36.0,
box_sharp,600,cyber,2,True,0.075,486,1.0,8,9.337095799421188e-06,1.0,0.00544027471506516,36.0,
box_sharp,600,cyber-pure,0,True,0.084,552,1.0,26,7.431898227554766,0.99375,0.005480605473836515,42.46153846153846,
box_sharp,600,cyber-pure,1,True,0.08,552,1.0,26,7.431898227554766,0.99375,0.005480605473836515,42.46153846153846,
box_sharp,600,cyber-pure,2,True,0.081,552,1.0,26,7.431898227554766,0.99375,0.005480605473836515,42.46153846153846,
box_sharp,600,quadriflow,0,True,0.12,600,1.0,8,0.21512067766510048,1.0,0.005404049231414015,40.0,
box_sharp,600,quadriflow,1,True,0.118,600,1.0,8,0.21512067766510048,1.0,0.005404049231414015,40.0,
box_sharp,600,quadriflow,2,True,0.12,600,1.0,8,0.21512067766510048,1.0,0.005404049231414015,40.0,
box_sharp,900,cyber,0,True,0.098,770,1.0,8,0.25947533815043133,1.0,0.005420018173970157,45.294117647058826,
box_sharp,900,cyber,1,True,0.101,770,1.0,8,0.25947533815043133,1.0,0.005420018173970157,45.294117647058826,
box_sharp,900,cyber,2,True,0.098,770,1.0,8,0.25947533815043133,1.0,0.005420018173970157,45.294117647058826,
box_sharp,900,cyber-pure,0,True,0.1,876,1.0,16,1.845651545633299,0.9958333333333333,0.0054717394945444815,54.75,
box_sharp,900,cyber-pure,1,True,0.101,876,1.0,16,1.845651545633299,0.9958333333333333,0.0054717394945444815,54.75,
box_sharp,900,cyber-pure,2,True,0.101,876,1.0,16,1.845651545633299,0.9958333333333333,0.0054717394945444815,54.75,
box_sharp,900,quadriflow,0,True,0.223,864,1.0,8,0.1395498572771026,1.0,0.005408214748393278,48.0,
box_sharp,900,quadriflow,1,True,0.227,864,1.0,8,0.1395498572771026,1.0,0.005408214748393278,48.0,
box_sharp,900,quadriflow,2,True,0.223,864,1.0,8,0.1395498572771026,1.0,0.005408214748393278,48.0,
box_sharp,1400,cyber,0,True,0.125,1176,1.0,8,0.42276629402193355,1.0,0.005399996293339744,56.0,
box_sharp,1400,cyber,1,True,0.127,1176,1.0,8,0.42276629402193355,1.0,0.005399996293339744,56.0,
box_sharp,1400,cyber,2,True,0.124,1176,1.0,8,0.42276629402193355,1.0,0.005399996293339744,56.0,
box_sharp,1400,cyber-pure,0,True,0.115,1176,1.0,8,0.8558062280916964,1.0,0.00539388026792982,56.0,
box_sharp,1400,cyber-pure,1,True,0.115,1176,1.0,8,0.8558062280916964,1.0,0.00539388026792982,56.0,
box_sharp,1400,cyber-pure,2,True,0.119,1176,1.0,8,0.8558062280916964,1.0,0.00539388026792982,56.0,
box_sharp,1400,quadriflow,0,True,0.257,1350,1.0,8,0.16267604179787226,1.0,0.005423481457166389,60.0,
box_sharp,1400,quadriflow,1,True,0.258,1350,1.0,8,0.16267604179787226,1.0,0.005423481457166389,60.0,
box_sharp,1400,quadriflow,2,True,0.257,1350,1.0,8,0.16267604179787226,1.0,0.005423481457166389,60.0,
box_sharp,2000,cyber,0,True,0.216,1734,1.0,8,0.1991873747579709,1.0,0.0053996608221445735,68.0,
box_sharp,2000,cyber,1,True,0.223,1734,1.0,8,0.1991873747579709,1.0,0.0053996608221445735,68.0,
box_sharp,2000,cyber,2,True,0.218,1734,1.0,8,0.1991873747579709,1.0,0.0053996608221445735,68.0,
box_sharp,2000,cyber-pure,0,True,0.156,1808,1.0,10,1.2096715111718672,1.0,0.005411242186315039,75.33333333333333,
box_sharp,2000,cyber-pure,1,True,0.157,1808,1.0,10,1.2096715111718672,1.0,0.005411242186315039,75.33333333333333,
box_sharp,2000,cyber-pure,2,True,0.157,1808,1.0,10,1.2096715111718672,1.0,0.005411242186315039,75.33333333333333,
box_sharp,2000,quadriflow,0,True,0.464,1944,1.0,8,0.15952478576657556,1.0,0.0054013369229986155,72.0,
box_sharp,2000,quadriflow,1,True,0.469,1944,1.0,8,0.15952478576657556,1.0,0.0054013369229986155,72.0,
box_sharp,2000,quadriflow,2,True,0.461,1944,1.0,8,0.15952478576657556,1.0,0.0054013369229986155,72.0,
box_sharp,2510,cyber,0,True,0.271,2166,1.0,8,0.34576721584639986,1.0,0.005405161477933692,76.0,
box_sharp,2510,cyber,1,True,0.278,2166,1.0,8,0.34576721584639986,1.0,0.005405161477933692,76.0,
box_sharp,2510,cyber,2,True,0.271,2166,1.0,8,0.34576721584639986,1.0,0.005405161477933692,76.0,
box_sharp,2510,cyber-pure,0,True,0.186,2412,1.0,12,0.46090355703019176,1.0,0.005385258890954523,89.33333333333333,
box_sharp,2510,cyber-pure,1,True,0.186,2412,1.0,12,0.46090355703019176,1.0,0.005385258890954523,89.33333333333333,
box_sharp,2510,cyber-pure,2,True,0.185,2412,1.0,12,0.46090355703019176,1.0,0.005385258890954523,89.33333333333333,
box_sharp,2510,quadriflow,0,True,0.527,2460,1.0,8,1.068272957779403,0.9541666666666667,0.005426174277903248,4920.0,
box_sharp,2510,quadriflow,1,True,0.518,2460,1.0,8,1.068272957779403,0.9541666666666667,0.005426174277903248,4920.0,
box_sharp,2510,quadriflow,2,True,0.524,2460,1.0,8,1.068272957779403,0.9541666666666667,0.005426174277903248,4920.0,
box_sharp,3000,cyber,0,True,0.338,2646,1.0,8,0.35096935630491016,1.0,0.0054081411598314805,84.0,
box_sharp,3000,cyber,1,True,0.336,2646,1.0,8,0.35096935630491016,1.0,0.0054081411598314805,84.0,
box_sharp,3000,cyber,2,True,0.335,2646,1.0,8,0.35096935630491016,1.0,0.0054081411598314805,84.0,
box_sharp,3000,cyber-pure,0,True,0.171,2400,1.0,8,6.108492879211743e-06,1.0,0.005381706900171516,80.0,
box_sharp,3000,cyber-pure,1,True,0.177,2400,1.0,8,6.108492879211743e-06,1.0,0.005381706900171516,80.0,
box_sharp,3000,cyber-pure,2,True,0.171,2400,1.0,8,6.108492879211743e-06,1.0,0.005381706900171516,80.0,
box_sharp,3000,quadriflow,0,True,0.55,2904,1.0,8,0.15790718220610747,1.0,0.005390177263621074,88.0,
box_sharp,3000,quadriflow,1,True,0.559,2904,1.0,8,0.15790718220610747,1.0,0.005390177263621074,88.0,
box_sharp,3000,quadriflow,2,True,0.563,2904,1.0,8,0.15790718220610747,1.0,0.005390177263621074,88.0,
box_sharp,4500,cyber,0,True,0.503,3850,0.9994807892004154,10,0.21252961881352234,1.0,0.005390272161030068,101.3157894736842,
box_sharp,4500,cyber,1,True,0.508,3850,0.9994807892004154,10,0.21252961881352234,1.0,0.005390272161030068,101.3157894736842,
box_sharp,4500,cyber,2,True,0.511,3850,0.9994807892004154,10,0.21252961881352234,1.0,0.005390272161030068,101.3157894736842,
box_sharp,4500,cyber-pure,0,True,0.342,3908,1.0,32,1.6611015727572591,1.0,0.005443627645136126,126.06451612903226,
