backend,mesh,density,arm,state,repeat,request,ok,seconds,engagement,count_matched,quads,quad_ratio,singularities,singularity_ratio,angle_dev_mean,angle_dev_median,angle_dev_p95,flow_loop_mean_len,flow_turning_mean,hausdorff_p99,chamfer_mean,feature_recall,edge_length_cv,error
geo,stanford-bunny,3000,mixed,off,0,3000,True,2.05,flag-unread,True,2696,0.9739884393063584,358,0.13161764705882353,20.5870384424341,13.868821181515884,64.43352276927523,32.67878787878788,26.969105235955926,0.007096769681186539,0.002384810790799286,0.8231780167264038,0.6077970085845062,
geo,stanford-bunny,3000,mixed,off,1,3000,True,2.03,flag-unread,True,2696,0.9739884393063584,358,0.13161764705882353,20.5870384424341,13.868821181515884,64.43352276927523,32.67878787878788,26.969105235955926,0.007096769681186539,0.002384810790799286,0.8231780167264038,0.6077970085845062,
geo,stanford-bunny,3000,mixed,off,2,3000,True,2.02,flag-unread,True,2696,0.9739884393063584,358,0.13161764705882353,20.5870384424341,13.868821181515884,64.43352276927523,32.67878787878788,26.969105235955926,0.007096769681186539,0.002384810790799286,0.8231780167264038,0.6077970085845062,
geo,fandisk,3000,mixed,off,0,3000,True,0.77,flag-unread,True,2621,0.9946869070208728,39,0.01478953356086462,6.3634286303556,4.818635026346207,16.88389527601715,174.73333333333332,10.237230518281802,0.0044791486523082505,0.0017366864381325336,0.7977099236641222,0.12969613729240057,
geo,fandisk,3000,mixed,off,1,3000,True,0.77,flag-unread,True,2621,0.9946869070208728,39,0.01478953356086462,6.3634286303556,4.818635026346207,16.88389527601715,174.73333333333332,10.237230518281802,0.0044791486523082505,0.0017366864381325336,0.7977099236641222,0.12969613729240057,
geo,fandisk,3000,mixed,off,2,3000,True,0.77,flag-unread,True,2621,0.9946869070208728,39,0.01478953356086462,6.3634286303556,4.818635026346207,16.88389527601715,174.73333333333332,10.237230518281802,0.0044791486523082505,0.0017366864381325336,0.7977099236641222,0.12969613729240057,
nogeo,stanford-bunny,3000,mixed,off,0,3000,True,1.6,flag-unread,True,2515,0.9782185919875535,87,0.03385214007782101,7.0814324643625515,4.578720453482269,20.996226094497608,46.574074074074076,14.05501243664081,0.00672821859019175,0.0020185006005175397,0.6547192353643967,0.26664312696850484,
nogeo,stanford-bunny,3000,mixed,off,1,3000,True,1.6,flag-unread,True,2515,0.9782185919875535,87,0.03385214007782101,7.0814324643625515,4.578720453482269,20.996226094497608,46.574074074074076,14.05501243664081,0.00672821859019175,0.0020185006005175397,0.6547192353643967,0.26664312696850484,
nogeo,stanford-bunny,3000,mixed,off,2,3000,True,1.58,flag-unread,True,2515,0.9782185919875535,87,0.03385214007782101,7.0814324643625515,4.578720453482269,20.996226094497608,46.574074074074076,14.05501243664081,0.00672821859019175,0.0020185006005175397,0.6547192353643967,0.26664312696850484,
nogeo,stanford-bunny,3000,mixed,guided,0,3000,True,14.1,steered(injected=0),True,2535,0.9829391236913533,92,0.03570042685292976,6.711787819281322,4.175704579311805,20.24891302742539,60.357142857142854,14.072644590588776,0.007085465173408735,0.002034246064461737,0.5615292712066906,0.2693193031430695,
